iso3,country,index,index_name,year,rank,date
MLT,Malta,GII,Global Innovation Index (GII),2019,27,2019-01-01
ITA,Italy,GII,Global Innovation Index (GII),2023,26,2023-01-01
ITA,Italy,GII,Global Innovation Index (GII),2022,28,2022-01-01
ITA,Italy,GII,Global Innovation Index (GII),2021,29,2021-01-01
ITA,Italy,GII,Global Innovation Index (GII),2020,28,2020-01-01
ITA,Italy,GII,Global Innovation Index (GII),2019,30,2019-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2023,27,2023-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2022,24,2022-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2021,26,2021-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2020,26,2020-01-01
NZL,New Zealand,GII,Global Innovation Index (GII),2019,25,2019-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2023,28,2023-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2022,27,2022-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2021,28,2021-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2020,29,2020-01-01
CYP,Cyprus,GII,Global Innovation Index (GII),2019,28,2019-01-01
ESP,Spain,GII,Global Innovation Index (GII),2023,29,2023-01-01
ESP,Spain,GII,Global Innovation Index (GII),2022,29,2022-01-01
ESP,Spain,GII,Global Innovation Index (GII),2021,30,2021-01-01
ESP,Spain,GII,Global Innovation Index (GII),2020,30,2020-01-01
ESP,Spain,GII,Global Innovation Index (GII),2019,29,2019-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2023,30,2023-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2022,32,2022-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2021,31,2021-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2020,31,2020-01-01
PRT,Portugal,GII,Global Innovation Index (GII),2019,32,2019-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2023,31,2023-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2022,30,2022-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2021,24,2021-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2020,24,2020-01-01
CZE,Czech Republic,GII,Global Innovation Index (GII),2019,26,2019-01-01
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2023,32,2023-01-01
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2022,31,2022-01-01
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2021,33,2021-01-01
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2020,34,2020-01-01
ARE,United Arab Emirates,GII,Global Innovation Index (GII),2019,36,2019-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2023,33,2023-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2022,33,2022-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2021,32,2021-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2020,32,2020-01-01
SVN,Slovenia,GII,Global Innovation Index (GII),2019,31,2019-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2023,34,2023-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2022,39,2022-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2021,39,2021-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2020,40,2020-01-01
LTU,Lithuania,GII,Global Innovation Index (GII),2019,38,2019-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2023,35,2023-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2022,34,2022-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2021,34,2021-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2020,35,2020-01-01
HUN,Hungary,GII,Global Innovation Index (GII),2019,33,2019-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2023,36,2023-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2022,36,2022-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2021,36,2021-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2020,33,2020-01-01
MYS,Malaysia,GII,Global Innovation Index (GII),2019,35,2019-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2023,37,2023-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2022,41,2022-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2021,38,2021-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2020,36,2020-01-01
LVA,Latvia,GII,Global Innovation Index (GII),2019,34,2019-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2023,38,2023-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2022,35,2022-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2021,35,2021-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2020,37,2020-01-01
BGR,Bulgaria,GII,Global Innovation Index (GII),2019,40,2019-01-01
TUR,Turkey,GII,Global Innovation Index (GII),2023,39,2023-01-01
TUR,Turkey,GII,Global Innovation Index (GII),2022,37,2022-01-01
TUR,Turkey,GII,Global Innovation Index (GII),2021,41,2021-01-01
TUR,Turkey,GII,Global Innovation Index (GII),2019,49,2019-01-01
IND,India,GII,Global Innovation Index (GII),2023,40,2023-01-01
IND,India,GII,Global Innovation Index (GII),2022,40,2022-01-01
IND,India,GII,Global Innovation Index (GII),2021,46,2021-01-01
IND,India,GII,Global Innovation Index (GII),2020,48,2020-01-01
POL,Poland,GII,Global Innovation Index (GII),2023,41,2023-01-01
POL,Poland,GII,Global Innovation Index (GII),2022,38,2022-01-01
POL,Poland,GII,Global Innovation Index (GII),2021,40,2021-01-01
POL,Poland,GII,Global Innovation Index (GII),2020,38,2020-01-01
POL,Poland,GII,Global Innovation Index (GII),2019,39,2019-01-01
GRC,Greece,GII,Global Innovation Index (GII),2023,42,2023-01-01
GRC,Greece,GII,Global Innovation Index (GII),2022,44,2022-01-01
GRC,Greece,GII,Global Innovation Index (GII),2021,47,2021-01-01
GRC,Greece,GII,Global Innovation Index (GII),2020,43,2020-01-01
GRC,Greece,GII,Global Innovation Index (GII),2019,41,2019-01-01
THA,Thailand,GII,Global Innovation Index (GII),2023,43,2023-01-01
THA,Thailand,GII,Global Innovation Index (GII),2022,43,2022-01-01
THA,Thailand,GII,Global Innovation Index (GII),2021,43,2021-01-01
THA,Thailand,GII,Global Innovation Index (GII),2020,44,2020-01-01
THA,Thailand,GII,Global Innovation Index (GII),2019,43,2019-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2023,44,2023-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2022,42,2022-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2021,42,2021-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2020,41,2020-01-01
HRV,Croatia,GII,Global Innovation Index (GII),2019,44,2019-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2023,45,2023-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2022,46,2022-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2021,37,2021-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2020,39,2020-01-01
SVK,Slovakia,GII,Global Innovation Index (GII),2019,37,2019-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2023,46,2023-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2022,48,2022-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2021,44,2021-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2020,42,2020-01-01
VNM,Viet Nam,GII,Global Innovation Index (GII),2019,42,2019-01-01
ROU,Romania,GII,Global Innovation Index (GII),2023,47,2023-01-01
ROU,Romania,GII,Global Innovation Index (GII),2022,49,2022-01-01
ROU,Romania,GII,Global Innovation Index (GII),2021,48,2021-01-01
ROU,Romania,GII,Global Innovation Index (GII),2020,46,2020-01-01
ROU,Romania,GII,Global Innovation Index (GII),2019,50,2019-01-01
SAU,Saudi Arabia,GII,Global Innovation Index (GII),2023,48,2023-01-01
BRA,Brazil,GII,Global Innovation Index (GII),2023,49,2023-01-01
QAT,Qatar,GII,Global Innovation Index (GII),2023,50,2023-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2024,1,2024-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2023,1,2023-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2022,1,2022-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2021,1,2021-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2020,1,2020-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2019,1,2019-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2018,1,2018-01-01
CHE,Switzerland,EIS,European Innovation Scoreborad (EIS),2017,1,2017-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2024,2,2024-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2023,2,2023-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2022,2,2022-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2021,2,2021-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2020,3,2020-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2019,4,2019-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2018,3,2018-01-01
DNK,Denmark,EIS,European Innovation Scoreborad (EIS),2017,3,2017-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2024,3,2024-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2023,3,2023-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2022,3,2022-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2021,3,2021-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2020,2,2020-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2019,2,2019-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2018,2,2018-01-01
SWE,Sweden,EIS,European Innovation Scoreborad (EIS),2017,2,2017-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2024,4,2024-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2023,4,2023-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2022,4,2022-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2021,6,2021-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2020,5,2020-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2019,7,2019-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2018,7,2018-01-01
FIN,Finland,EIS,European Innovation Scoreborad (EIS),2017,5,2017-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2024,5,2024-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2023,5,2023-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2022,5,2022-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2021,4,2021-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2020,4,2020-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2019,3,2019-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2018,4,2018-01-01
NLD,Netherlands,EIS,European Innovation Scoreborad (EIS),2017,4,2017-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2024,6,2024-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2023,6,2023-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2022,6,2022-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2021,7,2021-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2020,6,2020-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2019,11,2019-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2018,11,2018-01-01
BEL,Belgium,EIS,European Innovation Scoreborad (EIS),2017,11,2017-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2024,7,2024-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2023,7,2023-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2022,8,2022-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2021,5,2021-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2020,9,2020-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2019,8,2019-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2018,10,2018-01-01
KOR,South Korea,EIS,European Innovation Scoreborad (EIS),2017,10,2017-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2024,8,2024-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2023,10,2023-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2022,9,2022-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2021,13,2021-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2020,14,2020-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2019,14,2019-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2018,13,2018-01-01
NOR,Norway,EIS,European Innovation Scoreborad (EIS),2017,14,2017-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2024,9,2024-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2023,8,2023-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2022,11,2022-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2021,15,2021-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2020,11,2020-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2019,10,2019-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2018,8,2018-01-01
AUT,Austria,EIS,European Innovation Scoreborad (EIS),2017,8,2017-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2024,10,2024-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2023,11,2023-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2022,10,2022-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2021,11,2021-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2020,12,2020-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2019,12,2019-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2018,14,2018-01-01
CAN,Canada,EIS,European Innovation Scoreborad (EIS),2017,13,2017-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2024,11,2024-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2023,9,2023-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2022,7,2022-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2021,8,2021-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2020,7,2020-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2019,6,2019-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2018,6,2018-01-01
GBR,United Kingdom,EIS,European Innovation Scoreborad (EIS),2017,7,2017-01-01
