iso3,economy,year,obs_value,var_axis
QAT,Qatar,2024,7.65,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ROU,Romania,2024,4.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2024,26.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SRB,Serbia,2024,11.67,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2024,8.59,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2024,11.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2024,7.21,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2024,8.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2024,9.89,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
THA,Thailand,2024,19.67,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
UKR,Ukraine,2024,12.78,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2024,13.57,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2024,14.22,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2024,19.28,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
VEN,Venezuela,2024,11.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2023,18.62,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2023,19.76,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2023,31.05,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2023,6.82,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2023,23.57,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2023,13.15,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2023,11.04,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
EST,Estonia,2023,13.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2023,10.75,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2023,7.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2023,6.74,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HUN,Hungary,2023,9.88,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2023,12.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2023,8.74,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2023,8.33,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JOR,Jordan,2023,15.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2023,14.34,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LTU,Lithuania,2023,6.68,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2023,9.67,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MEX,Mexico,2023,16.84,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2023,13.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2023,6.92,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2023,2.59,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2023,22.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2023,14.26,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ROU,Romania,2023,5.85,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2023,25.34,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2023,7.07,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ZAF,South Africa,2023,11.11,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2023,10.23,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2023,6.79,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2023,9.25,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2023,10.29,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
THA,Thailand,2023,23.62,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2023,11.76,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2023,14.71,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
VEN,Venezuela,2023,22.67,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUT,Austria,2022,6.79,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2022,20.03,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2022,16.53,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2022,27.01,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2022,5.98,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2022,27.96,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2022,13.23,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2022,8.32,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2022,9.16,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2022,9.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2022,4.85,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HUN,Hungary,2022,9.88,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2022,11.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IDN,Indonesia,2022,8.07,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2022,8.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JPN,Japan,2022,6.35,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2022,14.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LTU,Lithuania,2022,12.73,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2022,7.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MEX,Mexico,2022,12.90,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2022,12.45,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2022,6.47,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2022,1.56,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2022,20.04,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2022,10.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ROU,Romania,2022,8.25,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2022,19.24,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SRB,Serbia,2022,10.48,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2022,8.03,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ZAF,South Africa,2022,8.47,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2022,11.90,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2022,5.96,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2022,9.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2022,7.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2022,25.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2022,12.89,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2022,19.19,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
VEN,Venezuela,2022,15.94,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2021,20.98,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2021,20.08,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2021,29.89,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2021,15.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2021,12.35,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2021,8.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FIN,Finland,2021,7.89,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2021,7.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2021,6.91,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2021,5.53,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HUN,Hungary,2021,9.75,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2021,14.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IRL,Ireland,2021,12.50,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2021,9.55,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2021,4.83,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JPN,Japan,2021,6.27,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KAZ,Kazakhstan,2021,19.91,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2021,15.13,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2021,7.25,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2021,14.21,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2021,3.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2021,2.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2021,15.87,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ROU,Romania,2021,9.68,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2021,19.62,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2021,6.66,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ZAF,South Africa,2021,17.49,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2021,13.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2021,5.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2021,8.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2021,9.80,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2021,16.51,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2021,12.58,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2021,16.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUT,Austria,2020,6.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2020,23.40,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2020,15.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2020,25.90,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2020,31.10,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2020,12.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2020,8.50,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2020,4.80,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2020,8.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2020,5.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IDN,Indonesia,2020,9.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2020,8.50,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2020,1.90,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KAZ,Kazakhstan,2020,20.10,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KWT,Kuwait,2020,19.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2020,15.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2020,8.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2020,11.50,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2020,7.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2020,3.10,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2020,17.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2020,17.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2020,6.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2020,13.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2020,5.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2020,7.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2020,9.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2020,15.40,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2020,7.80,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2020,15.40,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUS,Australia,2019,10.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2019,23.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2019,18.16,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2019,36.71,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2019,8.66,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2019,22.28,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2019,10.47,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2019,12.17,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2019,7.63,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2019,8.22,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2019,14.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IRL,Ireland,2019,12.41,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2019,12.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2019,2.79,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JPN,Japan,2019,5.35,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JOR,Jordan,2019,9.11,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2019,15.43,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2019,10.20,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MEX,Mexico,2019,12.98,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2019,10.38,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MKD,North Macedonia,2019,6.18,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NOR,Norway,2019,8.36,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2019,5.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRT,Portugal,2019,12.89,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2019,13.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2019,14.69,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2019,13.96,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2019,7.80,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ZAF,South Africa,2019,10.77,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2019,14.94,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2019,6.15,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2019,8.25,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2019,9.77,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2019,16.41,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2019,9.34,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2019,17.42,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARG,Argentina,2018,9.11,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUT,Austria,2018,10.90,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2018,17.88,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BGR,Bulgaria,2018,6.00,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2018,18.71,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2018,25.06,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2018,10.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2018,21.19,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2018,9.61,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2018,3.86,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2018,6.13,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2018,4.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2018,6.35,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2018,11.42,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IDN,Indonesia,2018,14.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IRL,Ireland,2018,9.64,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2018,12.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2018,4.18,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JPN,Japan,2018,5.34,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2018,10.72,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
NLD,Netherlands,2018,12.29,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2018,5.24,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2018,11.61,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2018,8.52,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2018,12.09,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2018,6.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2018,14.65,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2018,6.39,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2018,6.82,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2018,7.37,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
THA,Thailand,2018,19.68,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2018,10.72,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2018,8.24,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2018,15.59,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARG,Argentina,2017,5.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
AUS,Australia,2017,12.21,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BRA,Brazil,2017,20.30,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
BGR,Bulgaria,2017,3.70,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CAN,Canada,2017,18.75,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHL,Chile,2017,23.80,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHN,China,2017,9.87,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
COL,Colombia,2017,18.68,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
HRV,Croatia,2017,8.91,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CYP,Cyprus,2017,7.33,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
EST,Estonia,2017,19.38,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
FRA,France,2017,3.92,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
DEU,Germany,2017,5.28,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GRC,Greece,2017,4.82,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IND,India,2017,9.28,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IDN,Indonesia,2017,7.47,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
IRL,Ireland,2017,8.93,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ISR,Israel,2017,12.78,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ITA,Italy,2017,4.28,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
JPN,Japan,2017,4.68,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KAZ,Kazakhstan,2017,11.32,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LVA,Latvia,2017,14.15,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
LUX,Luxembourg,2017,9.05,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MYS,Malaysia,2017,21.60,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
MEX,Mexico,2017,14.14,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
