iso3,country,measure,measure_name,year,year_date,obs_value
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,3.2
CMR,Cameroon,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,3.2
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,22.9
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,24.4
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,25.2
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,24.5
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,24.1
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,24.1
COL,Colombia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,24.1
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,8.4
CPV,Cabo Verde,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,8.4
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,34.1
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,35.3
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,35.7
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,37.6
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,37.6
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,37.6
CRI,Costa Rica,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,37.6
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,18.6
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,19.1
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,22.1
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,20
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,18.1
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,18.1
CYP,Cyprus,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,18.1
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,49.7
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,49.7
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,48.5
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,47.3
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,48.2
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,48.2
CZE,Czechia,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,48.2
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,60.7
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,60.8
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,60.6
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,60.6
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,60
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,60
DEU,Germany,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,60
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,58.8
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,58.1
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,57.5
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,52
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,51.3
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,51.3
DNK,Denmark,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,51.3
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,2.7
DZA,Algeria,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,2.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,15.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,15.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,18.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,12.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,12.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,12.7
ECU,Ecuador,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,12.7
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2018,2018-01-01,30.9
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2019,2019-01-01,29.1
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2020,2020-01-01,18.7
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2021,2021-01-01,18.7
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2022,2022-01-01,18.7
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2023,2023-01-01,18.7
EGY,Egypt,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),2024,2024-01-01,18.7
