iso3,country,var_axis,obs_value,year
GEO,Georgia,Global Innovation Index Score,32,2021
GHA,Ghana,Global Innovation Index Score,22,2021
GIN,Guinea,Global Innovation Index Score,17,2021
GRC,Greece,Global Innovation Index Score,36,2021
GTM,Guatemala,Global Innovation Index Score,24,2021
HKG,Hong Kong,Global Innovation Index Score,54,2021
HND,Honduras,Global Innovation Index Score,23,2021
HRV,Croatia,Global Innovation Index Score,37,2021
HUN,Hungary,Global Innovation Index Score,43,2021
IDN,Indonesia,Global Innovation Index Score,27,2021
IND,India,Global Innovation Index Score,36,2021
IRL,Ireland,Global Innovation Index Score,51,2021
IRN,Iran (Islamic Republic of),Global Innovation Index Score,33,2021
ISL,Iceland,Global Innovation Index Score,52,2021
ISR,Israel,Global Innovation Index Score,53,2021
ITA,Italy,Global Innovation Index Score,46,2021
JAM,Jamaica,Global Innovation Index Score,30,2021
JOR,Jordan,Global Innovation Index Score,28,2021
JPN,Japan,Global Innovation Index Score,54,2021
KAZ,Kazakhstan,Global Innovation Index Score,29,2021
KEN,Kenya,Global Innovation Index Score,27,2021
KGZ,Kyrgyzstan,Global Innovation Index Score,24,2021
KHM,Cambodia,Global Innovation Index Score,23,2021
KOR,South Korea,Global Innovation Index Score,59,2021
KWT,Kuwait,Global Innovation Index Score,30,2021
LAO,Lao People's Democratic Republic,Global Innovation Index Score,20,2021
LBN,Lebanon,Global Innovation Index Score,25,2021
LKA,Sri Lanka,Global Innovation Index Score,25,2021
LTU,Lithuania,Global Innovation Index Score,40,2021
LUX,Luxembourg,Global Innovation Index Score,49,2021
LVA,Latvia,Global Innovation Index Score,40,2021
MAR,Morocco,Global Innovation Index Score,29,2021
MDA,Republic of Moldova,Global Innovation Index Score,32,2021
MDG,Madagascar,Global Innovation Index Score,23,2021
MEX,Mexico,Global Innovation Index Score,35,2021
MKD,North Macedonia,Global Innovation Index Score,34,2021
MLI,Mali,Global Innovation Index Score,20,2021
MLT,Malta,Global Innovation Index Score,47,2021
MMR,Myanmar,Global Innovation Index Score,18,2021
MNE,Montenegro,Global Innovation Index Score,35,2021
MNG,Mongolia,Global Innovation Index Score,34,2021
MOZ,Mozambique,Global Innovation Index Score,20,2021
MUS,Mauritius,Global Innovation Index Score,35,2021
MWI,Malawi,Global Innovation Index Score,23,2021
MYS,Malaysia,Global Innovation Index Score,42,2021
NAM,Namibia,Global Innovation Index Score,24,2021
NER,Niger,Global Innovation Index Score,18,2021
NGA,Nigeria,Global Innovation Index Score,20,2021
NLD,Netherlands,Global Innovation Index Score,59,2021
NOR,Norway,Global Innovation Index Score,50,2021
NPL,Nepal,Global Innovation Index Score,22,2021
NZL,New Zealand,Global Innovation Index Score,47,2021
OMN,Oman,Global Innovation Index Score,29,2021
PAK,Pakistan,Global Innovation Index Score,24,2021
PAN,Panama,Global Innovation Index Score,28,2021
PER,Peru,Global Innovation Index Score,31,2021
PHL,Philippines,Global Innovation Index Score,35,2021
POL,Poland,Global Innovation Index Score,40,2021
PRT,Portugal,Global Innovation Index Score,44,2021
PRY,Paraguay,Global Innovation Index Score,26,2021
QAT,Qatar,Global Innovation Index Score,31,2021
ROU,Romania,Global Innovation Index Score,36,2021
RUS,Russian Federation,Global Innovation Index Score,37,2021
RWA,Rwanda,Global Innovation Index Score,24,2021
SAU,Saudi Arabia,Global Innovation Index Score,32,2021
SEN,Senegal,Global Innovation Index Score,23,2021
SGP,Singapore,Global Innovation Index Score,58,2021
SLV,El Salvador,Global Innovation Index Score,25,2021
SRB,Serbia,Global Innovation Index Score,35,2021
SVK,Slovakia,Global Innovation Index Score,40,2021
SVN,Slovenia,Global Innovation Index Score,44,2021
SWE,Sweden,Global Innovation Index Score,63,2021
TGO,Togo,Global Innovation Index Score,19,2021
THA,Thailand,Global Innovation Index Score,37,2021
TJK,Tajikistan,Global Innovation Index Score,24,2021
TTO,Trinidad and Tobago,Global Innovation Index Score,25,2021
TUN,Tunisia,Global Innovation Index Score,31,2021
TUR,Turkey,Global Innovation Index Score,38,2021
TZA,United Republic of Tanzania,Global Innovation Index Score,26,2021
UGA,Uganda,Global Innovation Index Score,20,2021
UKR,Ukraine,Global Innovation Index Score,36,2021
URY,Uruguay,Global Innovation Index Score,32,2021
USA,United States,Global Innovation Index Score,61,2021
UZB,Uzbekistan,Global Innovation Index Score,27,2021
VNM,Viet Nam,Global Innovation Index Score,37,2021
YEM,Yemen,Global Innovation Index Score,15,2021
ZAF,South Africa,Global Innovation Index Score,33,2021
ZMB,Zambia,Global Innovation Index Score,20,2021
ZWE,Zimbabwe,Global Innovation Index Score,22,2021
AGO,Angola,Global Innovation Index Score,13,2025
ALB,Albania,Global Innovation Index Score,30,2025
ARE,United Arab Emirates,Global Innovation Index Score,44,2025
ARG,Argentina,Global Innovation Index Score,27,2025
ARM,Armenia,Global Innovation Index Score,30,2025
AUS,Australia,Global Innovation Index Score,48,2025
AUT,Austria,Global Innovation Index Score,50,2025
AZE,Azerbaijan,Global Innovation Index Score,23,2025
BDI,Burundi,Global Innovation Index Score,16,2025
BEL,Belgium,Global Innovation Index Score,48,2025
BEN,Benin,Global Innovation Index Score,18,2025
BFA,Burkina Faso,Global Innovation Index Score,16,2025
BGD,Bangladesh,Global Innovation Index Score,21,2025
BGR,Bulgaria,Global Innovation Index Score,39,2025
BHR,Bahrain,Global Innovation Index Score,30,2025
BIH,Bosnia and Herzegovina,Global Innovation Index Score,23,2025
BLR,Belarus,Global Innovation Index Score,25,2025
BOL,Bolivia (Plurinational State of),Global Innovation Index Score,20,2025
BRA,Brazil,Global Innovation Index Score,33,2025
BRB,Barbados,Global Innovation Index Score,25,2025
BRN,Brunei Darussalam,Global Innovation Index Score,24,2025
BWA,Botswana,Global Innovation Index Score,25,2025
CAN,Canada,Global Innovation Index Score,51,2025
CHE,Switzerland,Global Innovation Index Score,66,2025
CHL,Chile,Global Innovation Index Score,33,2025
CHN,China,Global Innovation Index Score,57,2025
CIV,C te d'Ivoire,Global Innovation Index Score,20,2025
CMR,Cameroon,Global Innovation Index Score,18,2025
COG,Congo,Global Innovation Index Score,14,2025
COL,Colombia,Global Innovation Index Score,28,2025
CPV,Cabo Verde,Global Innovation Index Score,23,2025
CRI,Costa Rica,Global Innovation Index Score,28,2025
CYP,Cyprus,Global Innovation Index Score,45,2025
CZE,Czech Republic,Global Innovation Index Score,42,2025
DEU,Germany,Global Innovation Index Score,55,2025
DNK,Denmark,Global Innovation Index Score,57,2025
DOM,Dominican Republic,Global Innovation Index Score,23,2025
DZA,Algeria,Global Innovation Index Score,19,2025
ECU,Ecuador,Global Innovation Index Score,20,2025
EGY,Egypt,Global Innovation Index Score,25,2025
ESP,Spain,Global Innovation Index Score,45,2025
EST,Estonia,Global Innovation Index Score,51,2025
ETH,Ethiopia,Global Innovation Index Score,14,2025
FIN,Finland,Global Innovation Index Score,58,2025
FRA,France,Global Innovation Index Score,53,2025
GBR,United Kingdom,Global Innovation Index Score,59,2025
GEO,Georgia,Global Innovation Index Score,31,2025
GHA,Ghana,Global Innovation Index Score,22,2025
GIN,Guinea,Global Innovation Index Score,15,2025
GRC,Greece,Global Innovation Index Score,37,2025
GTM,Guatemala,Global Innovation Index Score,17,2025
HKG,Hong Kong, China,Global Innovation Index Score,51,2025
HND,Honduras,Global Innovation Index Score,18,2025
HRV,Croatia,Global Innovation Index Score,38,2025
HUN,Hungary,Global Innovation Index Score,40,2025
IDN,Indonesia,Global Innovation Index Score,31,2025
IND,India,Global Innovation Index Score,38,2025
IRL,Ireland,Global Innovation Index Score,50,2025
IRN,Iran (Islamic Republic of),Global Innovation Index Score,29,2025
ISL,Iceland,Global Innovation Index Score,47,2025
ISR,Israel,Global Innovation Index Score,52,2025
ITA,Italy,Global Innovation Index Score,45,2025
JAM,Jamaica,Global Innovation Index Score,25,2025
JOR,Jordan,Global Innovation Index Score,30,2025
JPN,Japan,Global Innovation Index Score,54,2025
KAZ,Kazakhstan,Global Innovation Index Score,26,2025
KEN,Kenya,Global Innovation Index Score,21,2025
KGZ,Kyrgyzstan,Global Innovation Index Score,23,2025
KHM,Cambodia,Global Innovation Index Score,22,2025
KOR,South Korea,Global Innovation Index Score,60,2025
KWT,Kuwait,Global Innovation Index Score,28,2025
LAO,Lao People's Democratic Republic,Global Innovation Index Score,20,2025
LBN,Lebanon,Global Innovation Index Score,24,2025
LKA,Sri Lanka,Global Innovation Index Score,23,2025
LSO,Lesotho,Global Innovation Index Score,15,2025
LTU,Lithuania,Global Innovation Index Score,41,2025
LUX,Luxembourg,Global Innovation Index Score,47,2025
LVA,Latvia,Global Innovation Index Score,38,2025
MAR,Morocco,Global Innovation Index Score,31,2025
MDA,Republic of Moldova,Global Innovation Index Score,27,2025
MDG,Madagascar,Global Innovation Index Score,18,2025
MEX,Mexico,Global Innovation Index Score,31,2025
MKD,North Macedonia,Global Innovation Index Score,30,2025
MLI,Mali,Global Innovation Index Score,14,2025
MLT,Malta,Global Innovation Index Score,45,2025
MMR,Myanmar,Global Innovation Index Score,17,2025
MNE,Montenegro,Global Innovation Index Score,30,2025
MNG,Mongolia,Global Innovation Index Score,27,2025
MOZ,Mozambique,Global Innovation Index Score,15,2025
MRT,Mauritania,Global Innovation Index Score,15,2025
MUS,Mauritius,Global Innovation Index Score,33,2025
MWI,Malawi,Global Innovation Index Score,16,2025
MYS,Malaysia,Global Innovation Index Score,41,2025
NAM,Namibia,Global Innovation Index Score,23,2025
NER,Niger,Global Innovation Index Score,12,2025
NGA,Nigeria,Global Innovation Index Score,21,2025
NIC,Nicaragua,Global Innovation Index Score,15,2025
NLD,Netherlands,Global Innovation Index Score,57,2025
NOR,Norway,Global Innovation Index Score,49,2025
NPL,Nepal,Global Innovation Index Score,20,2025
NZL,New Zealand,Global Innovation Index Score,45,2025
OMN,Oman,Global Innovation Index Score,29,2025
PAK,Pakistan,Global Innovation Index Score,22,2025
PAN,Panama,Global Innovation Index Score,26,2025
PER,Peru,Global Innovation Index Score,26,2025
PHL,Philippines,Global Innovation Index Score,34,2025
POL,Poland,Global Innovation Index Score,38,2025
PRT,Portugal,Global Innovation Index Score,44,2025
PRY,Paraguay,Global Innovation Index Score,21,2025
QAT,Qatar,Global Innovation Index Score,35,2025
ROU,Romania,Global Innovation Index Score,34,2025
RUS,Russian Federation,Global Innovation Index Score,30,2025
RWA,Rwanda,Global Innovation Index Score,21,2025
SAU,Saudi Arabia,Global Innovation Index Score,36,2025
SEN,Senegal,Global Innovation Index Score,24,2025
SGP,Singapore,Global Innovation Index Score,60,2025
SLV,El Salvador,Global Innovation Index Score,22,2025
SRB,Serbia,Global Innovation Index Score,32,2025
SVK,Slovakia,Global Innovation Index Score,36,2025
SVN,Slovenia,Global Innovation Index Score,40,2025
SWE,Sweden,Global Innovation Index Score,63,2025
SYC,Seychelles,Global Innovation Index Score,27,2025
TGO,Togo,Global Innovation Index Score,18,2025
THA,Thailand,Global Innovation Index Score,37,2025
TJK,Tajikistan,Global Innovation Index Score,20,2025
TTO,Trinidad and Tobago,Global Innovation Index Score,19,2025
TUN,Tunisia,Global Innovation Index Score,27,2025
TUR,T rkiye,Global Innovation Index Score,37,2025
TZA,United Republic of Tanzania,Global Innovation Index Score,17,2025
UGA,Uganda,Global Innovation Index Score,17,2025
UKR,Ukraine,Global Innovation Index Score,30,2025
URY,Uruguay,Global Innovation Index Score,29,2025
USA,United States,Global Innovation Index Score,62,2025
UZB,Uzbekistan,Global Innovation Index Score,26,2025
VEN,Venezuela (Bolivarian Republic of),Global Innovation Index Score,14,2025
VNM,Viet Nam,Global Innovation Index Score,37,2025
ZAF,South Africa,Global Innovation Index Score,30,2025
ZMB,Zambia,Global Innovation Index Score,20,2025
ZWE,Zimbabwe,Global Innovation Index Score,15,2025
